Membership Type,Company,Website,Address,Phone,Job Title
Retail Bakery (Per Out ...,Shada Bakery Ltd,,"Ontario, CA",(647) 450-0300,None provided
Retail Bakery (Per Out ...,Ooh La La Cupcakes Inc.,,"British Columbia, CA",250-385-0707,None provided
Retail Bakery (Per Out ...,Pransa Cake Ltd,www.pransacake.com,"Ontario, CA",6474500300,Owner and CEO
Retail Bakery (Per Out ...,Discovery Coffee (Yonnis Bakery),--,"British Columbia, CA",2505892190,Bakery Manager
Retail Bakery (Per Out ...,La Focacceria Artisan Bakery,www.lafocacceria.ca,"British Columbia, CA",(604) 841-3216,Owner
Retail Bakery (Per Out ...,Grounds for Coffee,groundsforcoffee.ca,"British Columbia, CA",604-562-3540,President
Retail Bakery (Per Out ...,Grounds for Coffee,groundsforcoffee.ca,"British Columbia, CA",604-760-2088,Vice President
Retail Bakery (Per Out ...,Harvest Bakery & Deli,--,"Manitoba, CA",(204) 792-1456,Owner
Retail Bakery (Per Out ...,ARD BAKERY LTD.,--,"British Columbia, CA",6474500300,Bakery Manager
Retail Bakery (Per Out ...,Whole Note Grains Co.,wholenotegrains.ca,"Ontario, CA",343-261-6617,Owner/Head Baker
Retail Bakery (Per Out ...,Homestead Artisan Bakery,http://www.homesteadartisanbakery.com/,"Ontario, CA",647-209-4694,Owner
Retail Bakery (Per Out ...,Old Church Bakery Inc.,oldchurchbakery.com,"Manitoba, CA",2043262253,owner
Retail Bakery (Per Out ...,Bliss Bakery,blissbakery.ca,"British Columbia, CA",2503176188,Owner
Retail Bakery (Per Out ...,Baker Street Bakery,--,"Ontario, CA",416-785-9666,Unkown
Retail Bakery (Per Out ...,Aygol Bakery Inc.,--,"British Columbia, CA",6474500300,Bakery Manager
Retail Bakery (Per Out ...,The Bread Essentials,www.thebreadessentials.com,"Ontario, CA",6476803490,Owner/Baker
Retail Bakery (Per Out ...,Felix & Norton Markham,www.fncookies.com,"Ontario, CA",7056274425,Owner/Operator
Retail Bakery (Per Out ...,Felix & Norton Markham,www.fncookies.com,"Ontario, CA",90601362,Owner/Operator
Retail Bakery (Per Out ...,Tall Grass Prairie Bread Co. (at the Forks),https://tallgrassbakery.ca/,"Manitoba, CA",204-470-8570,Co-Owner
Retail Bakery (Per Out ...,The Sweet North,Thesweetnorth.ca,"Ontario, CA",8077071514,Owner/Partner
Retail Bakery (Per Out ...,The Sweet North,--,"Ontario, CA",8076304410,Owner/Partner
Retail Bakery (Per Out ...,Kortob-Mom Bakery,--,"Manitoba, CA",2043908672,Director
Retail Bakery (Per Out ...,Tommy's Whole Grain,tommyswholegrain.com,"British Columbia, CA",6044040050,Director
Retail Bakery (Per Out ...,Blackbird Baking Company,www.blackbirdbakingco.com,"Ontario, CA",4167083475,Owner
Retail Bakery (Per Out ...,Blackbird Bread Works,www.blackbirdbakingco.com,"Ontario, CA",4167083475,Owner
Retail Bakery (Per Out ...,The Lively Loaf,--,"Ontario, CA",2893385420,Program Leader
Retail Bakery (Per Out ...,The Measuring Spoon,themeasuringspoon.ca,"Ontario, CA",4163581172,Owner
Retail Bakery (Per Out ...,The Measuring Spoon,themeasuringspoon.ca,"Ontario, CA",4163581172,Owner
Retail Bakery (Per Out ...,Elmvale Bakery,--,"Ontario, CA",7055153300,Owner/operator
Retail Bakery (Per Out ...,D'Amours Bakery,--,"Ontario, CA",7053657202,Baker/Owner
Retail Bakery (Per Out ...,Northgate bakery,--,"Saskatchewan, CA",6399998311,Owner
Retail Bakery (Per Out ...,Old Town Bakery Ltd,oldtownbakery.ca,"British Columbia, CA",2502452531,Owner
Retail Bakery (Per Out ...,Jackie's Creative Cakes & Sweets,www.jackiescreativecakes.com,"Ontario, CA",6478011670,Bakeshop Owner
Retail Bakery (Per Out ...,Sherry's Inc.,YES,"Ontario, CA",6135352018,Owner
Retail Bakery (Per Out ...,Sherry's Inc,yes,"Ontario, CA",6135352018,Partner
Retail Bakery (Per Out ...,Do Good Donuts,Www.dogooddonuts.org,"Ontario, CA",4163057880,Founder
Retail Bakery (Per Out ...,Lady Glaze Doughnuts Inc,www.ladyglazedoughnuts.com,"Ontario, CA",5194977612,Owner
Retail Bakery (Per Out ...,Leaven to Loaf,,"Ontario, CA",6476270060,Owner
Retail Bakery (Per Out ...,Leaven to Loaf,,"Ontario, CA",6476254854,Owner
Retail Bakery (Per Out ...,Portovelo Cafe,,"Ontario, CA",4162726125,Owner
Retail Bakery (Per Out ...,Spicer’s Bakery,,"Ontario, CA",5196398966,Owner
Retail Bakery (Per Out ...,BAKEHOUSE,--,"Alberta, CA",7788298759,Founder
Retail Bakery (Per Out ...,The Beauregard Experience,--,"Manitoba, CA",204 798 0832,Owner
Retail Bakery (Per Out ...,Tdelight Ventures,--,"Ontario, CA",3435516926,Managing Director
