url,GTIN,Product Name,Description,Ingredients,Pack Size,Product Format,Slice Weight,Product Performance,Item Type,Slice Length,Slice Width
schreiber-mild-cheddar-white-feather-shreds-4-5/,071505014694,SCHREIBER MILD CHEDDAR WHITE FEATHER SHREDS – 4/5#,"Effortlessly elevate your menu with our ready-to-use shredded cheese, featuring a classic feather shred for optimal coverage. With a clean, full flavor profile, complemented by a hint of sweet White Cheddar, it’s a delicious way to enhance any dish. Whether sprinkled on salads or pastas for a burst of visual appeal or melted over pizza or a casserole for a creamy finish, it will delight all those you serve with every bite.","CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
schreiber-cream-cheese-loaf-10-3/,071505014731,SCHREIBER CREAM CHEESE LOAF – 10/3#,"This bulk, fully cultured cream cheese is a flavor powerhouse that elevates any dish. That’s right, cream cheese isn’t just for bagels anymore. With its clean, mild taste and smooth, medium-firm texture, it’s perfect for everything from cheesecakes, frostings, and savory spreads to innovative applications like sushi, tartines, and trendy cheese teas.","PASTEURIZED MILK AND CREAM, CHEESE CULTURE, SALT, GUAR GUM, XANTHAN GUM, CAROB BEAN GUM. CONTAINS: MILK",10/3#,Loaf,,Baking/Frosting; Frying; Spreading,CREAM CHEESE,,
land-o-lakes-lowfat-blended-strawberry-yogurt-pail-1-32/,034500633116,LAND O LAKES LOWFAT BLENDED STRAWBERRY YOGURT PAIL – 1/32#,"Looking to elevate your menu with a burst of fruity goodness? This bulk yogurt packs irresistible punch with its mouthwatering strawberry flavor and smooth, creamy texture. Perfect for adding a refreshing twist to breakfasts and snacks or even as a base for mouthwatering parfaits and energizing smoothies. No matter how you use it, consumers are in for a treat!","CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, WATER, MODIFIED FOOD STARCH, STRAWBERRIES, NATURAL FLAVOR, CARRAGEENAN, PECTIN, CITRIC ACID, VEGETABLE JUICE AND BETA CAROTENE (COLOR), VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",1/32#,Bulk,,READY TO EAT,YOGURT,,
level-valley-creamery-cream-cheese-style-blend-bar-36-8oz/,0785249462733,LEVEL VALLEY CREAMERY CREAM CHEESE STYLE BLEND BAR – 36/8OZ,"With unparalleled versatility and convenience our Cream Cheese Style Blended Bar is a perfect addition to any kitchen. It has a clean, mild flavor and smooth, medium-firm texture, making it an incredible flavor carrier for all your culinary creations. Whether you want to use it for baking, cooking, or spreading for sandwiches, it’s designed with efficiency and quality in mind, so you can always count on it being easy to handle and store.","PASTEURIZED MILK AND CREAM, PALM OIL, SALT, SODIUM HEXAMETAPHOSPHATE, CITRIC ACID,LACTIC ACID, GUAR GUM, CAROB BEAN GUM, XANTHAN GUM, NATURAL FLAVOR, CHEESE CULTURE.CONTAINS: MILK",36/8OZ,Bar,,Baking/Frosting,CREAM CHEESE,,
amera-melt-white-pasteruzied-process-american-block-1-20/,071505022804,AMERA MELT WHITE PASTERUZIED PROCESS AMERICAN BLOCK – 1/20#,"Ideal for saucing, this cheese is specially crafted to melt evenly and consistently, adding a perfectly rich, creamy texture to any dish. It also features a mild, slightly salty flavor profile, making it the perfect addition to mac and cheese, nachos, and so much more. Whether you’re saucing, shredding for salads, or topping tacos and wraps, Schreiber Amera Melt White Pasteurized Process American Block gives you maximum flavor impact with minimal worries.","MILK, CREAM, WATER, SODIUM PHOSPHATE, SALT, CHEESE CULTURE, ENZYMES, LACTIC ACID, COLOR ADDED. CONTAINS: MILK",1/20#,Bulk,,SAUCE,PROCESSED CHEESE,,
yellow-pasteurized-process-restricted-melt-american-slices-8-5-160-slices/,071505013802,YELLOW PASTEURIZED PROCESS RESTRICTED MELT AMERICAN SLICES – 8/5# 160 SLICES,"Bring some sizzle to your grilling game using a creamy, delicious process cheese that’s crafted to withstand high heat. With an innovative horizontal stack and EZ Pick slices, separating and adding a decadent layer of flavor has never been easier. Simply put, it’s the best cheese for freeze and reheat applications like breakfast sandwiches and burritos or high heat applications like stuffed burgers. We’d say get ready for pure cheesy perfection, but there’s no prep needed. So, it looks like you and your consumers can just relax and enjoy.","MILK, WATER, CREAM, SODIUM CITRATE, SALT, CHEESE CULTURE, TETRASODIUM PYROPHOSPHATE, SORBIC ACID (PRESERVATIVE), ENZYMES, SOY LECITHIN, CITRIC ACID, COLOR ADDED. CONTAINS: MILK, SOY",8/5#,Slice,0.5oz.,Hot Application - Restricted Melt,PROCESSED CHEESE,3,3
yellow-pasteurized-process-american-slices-12-12oz-16-slices/,071505021883,YELLOW PASTEURIZED PROCESS AMERICAN SLICES – 12/12OZ 16 SLICES,"Smooth and consistent, Yellow Pasteurized Process American Slices ensure an irresistible melty texture in every application. That means you can elevate anything from juicy burgers to stacked sandwiches with no prep required thanks to the pre-portioned slices. Simply unwrap to create a culinary masterpiece.","MILK, CREAM, WATER, SODIUM CITRATE, SALT, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), CITRIC ACID, ENZYMES, SOY LECITHIN, COLOR ADDED. CONTAINS: MILK, SOY",12/12OZ,Slice,0.75oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3.375,3.375
schreiber-amera-melt-white-pasteurized-process-american-loaf-6-5/,071505017534,SCHREIBER AMERA MELT WHITE PASTEURIZED PROCESS AMERICAN LOAF – 6/5#,"Ideal for saucing, cheese is specially crafted to melt evenly and consistently, adding a perfectly rich, creamy texture to any dish. It also features a mild, slightly salty flavor profile, making it the perfect addition to mac and cheese, nachos, and so much more. Whether you’re saucing, shredding for salads, or topping tacos and wraps, Schreiber Amera Melt White Pasteurized Process American Loaf gives you maximum flavor impact with minimal worries.","MILK, CREAM, WATER, SODIUM PHOSPHATE, SALT, CHEESE CULTURE, ENZYMES, LACTIC ACID, COLOR ADDED. CONTAINS: MILK",6/5#,Loaf,,SAUCE,PROCESSED CHEESE,,
schreiber-yellow-pasteurized-process-american-slices-4-5-200-slices/,071505013772,SCHREIBER YELLOW PASTEURIZED PROCESS AMERICAN SLICES – 4/5# 200 SLICES,"Whether you’re topping juicy burgers, making perfectly golden, grilled cheese sandwiches, or creating a crispy chicken sandwich, the smooth and melty texture of Schreiber Yellow Pasteurized Process American Slices is going to help you elevate every dish to gourmet status. And, with its horizontal stack and EZ Pick staggered slices, kitchen prep becomes effortless, ensuring easy separation, minimal waste, and unforgettable flavor in every bite.","MILK, CREAM, WATER, SODIUM CITRATE, SALT, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), CITRIC ACID, ENZYMES, SOY LECITHIN, COLOR ADDED. CONTAINS: MILK, SOY",4/5#,Slice,0.4oz.,Hot Application - Internal Melt,PROCESSED CHEESE,2.75,2.75
schreiber-mild-cheddar-loaf-2-5/,071505016421,SCHREIBER MILD CHEDDAR LOAF – 2/5#,"Schreiber Mild Cheddar promises unbeatable quality and performance for those who prefer to shred or slice straight from the block. It has a clean, full-flavor profile with a hint of sweetness and a firm body making it ideal for shredding, slicing, or cubing. it’s never been easier to add a deliciously creamy touch to sandwiches, burgers, omelets, pasta, soups, and charcuterie boards.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED. CONTAINS: MILK",2/5#,Chunk,,Ready to Eat,NATURAL CHEESE,,
schreiber-2-milk-6-32-fl-oz/,071505024006,SCHREIBER 2% MILK 6/32 FL OZ,"With all of the flavor but lower fat content, our 2% milk is more than just a beverage – it’s a promise of quality and versatility from a dairy expert. From more complex baking applications to simple dishes like cereal, or even just pouring a tall glass for a refreshing sip, its creamy texture and rich taste help you create an unforgettable experience every time. And, with extended shelf life and efficient one-quart cartons, you can maximize your storage space while delighting all those you serve.","REDUCED FAT MILK, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",6/32FLOZ,Milk,,Ready to Drink,BEVERAGES,,
schreiber-pasteurized-process-high-flavor-swiss-american-slices-4-5-184-slices/,071505013758,SCHREIBER PASTEURIZED PROCESS HIGH FLAVOR SWISS AMERICAN SLICES – 4/5# 184 SLICES,"Give your menu items a little more elevation with Schreiber Pasteurized Process High Flavor Swiss American Slices. Featuring a clean, robust flavor profile, each slice will help you surprise and delight your consumers with the flavor they love. And, with a smooth, medium-firm texture and ultimate melt when heated, they’re the perfect addition to your most popular dishes like chicken sandwiches, classic grilled cheese, juicy burgers, and hot ham and cheese.","PART-SKIM MILK, CREAM, WATER, SODIUM CITRATE, SALT, MILK, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), ENZYMES, CITRIC ACID, SOY LECITHIN. CONTAINS: MILK, SOY",4/5#,Slice,0.43oz.,PLACEHOLDER,PROCESSED CHEESE,3,3
friendship-lowfat-plain-yogurt-pail-1-35/,071505008402,FRIENDSHIP LOWFAT PLAIN YOGURT PAIL – 1/35#,"This lowfat yogurt has a smooth, creamy texture, that makes it perfect for a variety of high-volume applications. From creating a lower-fat substitute for mayo or sour cream to marinating proteins and whipping up dressings for salads or dips, this yogurt will help you add a bit of delicious to any menu item. Plus, with its bulk size, you’ll have plenty on hand to tackle even your biggest recipes.","CULTURED PASTEURIZED GRADE A LOW FAT MILK, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",1/35#,Bulk,,Ready to Eat,YOGURT,,
schreiber-mild-cheddar-slices-6-1-5-32-slices/,071505014861,SCHREIBER MILD CHEDDAR SLICES – 6/1.5# 32 SLICES,"Enjoy the rich, full flavor profile of our mild Cheddar cheese. With a hint of sweetness and smooth texture, it adds a burst of flavor to any dish. Whether melted over a burger, layered onto a cold sandwich, or anything in between, our perfectly cut slices ensure consistent quality and effortless convenience for your kitchen.","PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED. CONTAINS: MILK",6/1.5#,Slice,0.75oz.,Cold Application; Hot Application - Internal Melt,NATURAL CHEESE,3.5,3.66
pasteurized-process-monterey-jack-slices-4-5-184-slices/,071505006668,PASTEURIZED PROCESS MONTEREY JACK SLICES – 4/5# 184 SLICES,"With a buttery and mild flavor profile, our Pasteurized Process Monterey Jack Slices are perfect for delighting your menu. With a smooth and medium-firm texture, they offer a delightful melt when heated, which makes them ideal for enhancing your most popular dishes like a melty Monterey Jack burger or grilled panini! They’re also ready-to-eat and feature a convenient horizontal stack with EZ Pick staggered slices, so preparation is always a breeze with minimal waste and maximum satisfaction.","MILK, WATER, SODIUM CITRATE, SALT, CREAM, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), ENZYMES, CITRIC ACID, SOY LECITHIN. CONTAINS: MILK, SOY",4/5#,Slice,0.43oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3,3
raskas-neufchatel-loaf-10-3/,030900016160,RASKAS NEUFCHATEL LOAF – 10/3#,"With its reduced fat and calorie content, this is the perfect option for health-conscious consumers without compromising on flavor or quality. It has a clean, mild flavor profile with subtle cultured dairy notes and a smooth, medium-firm texture that makes it a versatile ingredient for both sweet and savory dishes. So, whether you’re whipping up cheesecakes, frostings, dips, or savory spreads, it delivers rich, creamy goodness in every bite.","PASTEURIZED MILK AND CREAM, SKIM MILK, CHEESE CULTURE, SALT, GUAR GUM, XANTHAN GUM, CAROB BEAN GUM. CONTAINS: MILK",10/3#,Loaf,,Baking/Frosting; Spreading,CREAM CHEESE,,
five-cheese-pizza-blend-feather-shreds-4-5/,071505022446,FIVE CHEESE PIZZA BLEND FEATHER SHREDS – 4/5#,"Get ready to level up your pizza game with this premium cheese blend that is crafted for convenience and ease of use. Featuring a classic feather shred for excellent coverage and crafted from a blend of Low Moisture Part Skim Mozzarella, Whole Milk Mozzarella, Provolone, Parmesan, and Romano cheeses, it brings a mild, slightly nutty flavor profile that’ll have your consumers craving more. Plus, with its firm texture and excellent melting properties, it’s perfect for adding that irresistible melty goodness to anything from pizzas to baked breads.","LOW-MOISTURE PART-SKIM MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), LOW-MOISTURE MOZZARELLA CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), PROVOLONE CHEESE WITHOUT ADDED SMOKE FLAVORING (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), ROMANO CHEESE MADE FROM COW’S MILK (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
schreiber-yellow-pasteurized-process-american-slices-4-5-184-slices/,071505013680,SCHREIBER YELLOW PASTEURIZED PROCESS AMERICAN SLICES – 4/5# 184 SLICES,"Whether you’re topping juicy burgers, making perfectly golden, grilled cheese sandwiches, or creating a crispy chicken sandwich, the smooth and melty texture of Schreiber Yellow Pasteurized Process American Slices is going to help you elevate every dish to gourmet status. And, with its horizontal stack and EZ Pick staggered slices, kitchen prep becomes effortless, ensuring easy separation, minimal waste, and unforgettable flavor in every bite.","MILK, CREAM, WATER, SODIUM CITRATE, SALT, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), CITRIC ACID, ENZYMES, SOY LECITHIN, COLOR ADDED. CONTAINS: MILK, SOY",4/5#,Slice,0.43oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3,3
whipped-cream-cheese-bulk-1-25/,071505019347,WHIPPED CREAM CHEESE BULK – 1/25#,"This fully cultured cream cheese has a whipped, creamy texture that makes it simple to spread with a clean, mild flavor profile that allows you to use it in a variety of applications. Whether you’re adding it to bagels, pastries, sandwiches, burgers and wraps, or mixing it into your most popular recipes, Raskas Whipped Cream Cheese Spread helps you add a burst of flavor that’ll leave your consumers craving more. And with its bulk packaging format, it provides endless use across your menu.","PASTEURIZED MILK AND CREAM, WHEY PROTEIN CONCENTRATE, MODIFIED FOOD STARCH, SALT, CHEESE CULTURE, GUAR GUM, LACTIC ACID, XANTHAN GUM, CAROB BEAN GUM, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",1/25#,Bulk,,SPREADING,CREAM CHEESE,,
land-o-lakes-lowfat-blended-strawberry-yogurt-cup-48-4oz/,034500633529,LAND O LAKES LOWFAT BLENDED STRAWBERRY YOGURT CUP – 48/4OZ,"Looking to elevate your menu with a burst of fruity goodness? This convenient-sized yogurt packs an irresistible punch with its clean strawberry flavor and smooth, creamy texture. Perfect for adding a refreshing twist to breakfasts and snacks or even as a base for mouthwatering parfaits and energizing smoothies. No matter how you use it, customers are in for a treat!","CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, WATER, MODIFIED FOOD STARCH, STRAWBERRIES, NATURAL FLAVOR, CARRAGEENAN, PECTIN, CITRIC ACID, VEGETABLE JUICE AND BETA CAROTENE (COLOR), VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",48/4OZ,Small Cup,,READY TO EAT,YOGURT,,
sharp-cheddar-white-fancy-shreds-4-5/,030900590455,SHARP CHEDDAR WHITE FANCY SHREDS – 4/5#,"Whether you’re creating a visual flourish for entrees or adding a creamy texture to appetizers, this product will help you elevate every bite with the perfect combination of sharp and sweet cheddar flavors. Our classic fancy shred ensures impeccable coverage, allowing you to effortlessly add a visual flourish to entrees or a creamy texture to appetizers. it’s the ideal way to enhance everything from chilled salads to piping hot pasta, pizza, or casseroles. Make each dish memorable with this versatile addition that saves time and reduces waste in your operation.","CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
land-o-lakes-lowfat-blended-blueberry-yogurt-cup-6-2/,034500635677,LAND O LAKES LOWFAT BLENDED BLUEBERRY YOGURT CUP – 6/2#,"Featuring the popular blueberry flavor profile and subtle cultured dairy notes, this lowfat yogurt is crafted to be an unforgettable treat for your consumers. And, with a smooth and creamy texture, it’s perfect for a variety of applications. Whether you’re serving it as a standalone breakfast or snack item, using it as a base for delectable parfaits, or blending it into refreshing smoothies, this yogurt is guaranteed to satisfy. Plus, with its 2-pound size, it’s perfect for multiple occasions, ensuring you’ll always be ready for any culinary adventure.","CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, BLUEBERRIES, WATER, MODIFIED FOOD STARCH, NATURAL FLAVOR, CARRAGEENAN, PECTIN, CITRIC ACID, FRUIT AND VEGETABLE JUICE (COLOR), VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",6/2#,Large Cup,,Ready to Eat,YOGURT,,
swiss-fancy-shreds-4-5/,071505015769,SWISS FANCY SHREDS – 4/5#,"Simplify your kitchen operation without compromising on taste. Schreiber Swiss cheese gives you a fancy shred and an enticing flavor profile, perfect for adding that extra oomph to any dish. Whether sprinkled over salads for a burst of flavor or melted into omelets, pasta, or skillets, this cheese will give your consumers something to talk about and even more to love.","SWISS CHEESE (PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH, CORN STARCH AND CALCIUM SULFATE ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). AGED OVER 60 DAYS. CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
schreiber-pasteurized-process-hot-pepper-jack-saucing-loaf-6-5/,071505017053,SCHREIBER PASTEURIZED PROCESS HOT PEPPER JACK SAUCING LOAF – 6/5#,"Spice up your menu and delight your consumers. Schreiber Pasteurized Process Hot Pepper Jack Saucing Loaf has the signature Pepper Jack flavor profile featuring some heat, allowing you to add a flavorful kick to any dish. And, with its smooth and medium-firm texture, it melts evenly and consistently, delivering a rich, creamy texture to anything it touches. It’s perfect for saucing and is an essential ingredient for soups, queso dip, mac and cheese, nachos and so much more.","MILK, WATER, JALAPENO PEPPERS, SODIUM PHOSPHATE, CREAM, SALT, CHEESE CULTURE, VINEGAR, RED BELL PEPPERS*, LACTIC ACID, SORBIC ACID (PRESERVATIVE), ENZYMES, COLOR ADDED. *DRIED CONTAINS: MILK",6/5#,Loaf,,Sauce,PROCESSED CHEESE,,
neufchatel-with-carob-bean-gum-bulk-1-30/,071505019200,NEUFCHATEL WITH CAROB BEAN GUM BULK – 1/30#,"With its easy-to-use design and creamy texture, this fully cultured cheese is a staple for any bakery or restaurant. Made with milk, cream, and featuring a single stabilizer, it has a clean, mild flavor profile with delightful cultured dairy notes. So, whether you’re whipping up dips, sandwich spreads, or incorporating it into bakery creations, this is sure to elevate any dish on your menu.","PASTEURIZED MILK AND CREAM, SKIM MILK, CHEESE CULTURE, SALT, CAROB BEAN GUM. CONTAINS: MILK",1/30#,Bulk,,Baking/Frosting,CREAM CHEESE,,
raskas-cream-cheese-bar-12-6-8oz/,071505021975,RASKAS CREAM CHEESE BAR – 12 6/8OZ,"Easy to handle and store, this fully cultured cream cheese is a flavor powerhouse that elevates any dish. That’s right, cream cheese isn’t just for bagels anymore. With its clean, mild taste and smooth, medium-firm texture, it’s perfect for everything from cheesecakes, frostings, and savory spreads to innovative applications like sushi, tartines, and trendy cheese teas.","PASTEURIZED MILK AND CREAM, CHEESE CULTURE, SALT, GUAR GUM, CAROB BEAN GUM, XANTHAN GUM. CONTAINS: MILK",12/6/8OZ,Bar,,Baking/Frosting; Frying; Spreading,CREAM CHEESE,,
schreiber-yellow-pasteurized-process-american-slices-4-5-160-slices/,071505013703,SCHREIBER YELLOW PASTEURIZED PROCESS AMERICAN SLICES – 4/5# 160 SLICES,"Whether you’re topping juicy burgers, making perfectly golden, grilled cheese sandwiches, or creating a crispy chicken sandwich, the smooth and melty texture of Schreiber Yellow Pasteurized Process American Slices is going to help you elevate every dish to gourmet status. And, with its horizontal stack and EZ Pick staggered slices, kitchen prep becomes effortless, ensuring easy separation, minimal waste, and unforgettable flavor in every bite.","MILK, CREAM, WATER, SODIUM CITRATE, SALT, CHEESE CULTURE, SORBIC ACID (PRESERVATIVE), CITRIC ACID, ENZYMES, SOY LECITHIN, COLOR ADDED. CONTAINS: MILK, SOY",4/5#,Slice,0.5oz.,Hot Application - Internal Melt,PROCESSED CHEESE,3,3
schreiber-whole-milk-6-32-fl-oz/,071505023993,SCHREIBER WHOLE MILK 6/32 FL OZ,"An irresistible combination of flavor and freshness, our whole milk is more than just a beverage – it’s a promise of quality and versatility from a dairy expert. From more complex baking applications to simple dishes like cereal, or even just pouring a tall glass for a refreshing sip, its creamy texture and rich taste help you create an unforgettable experience every time. And, with extended shelf life and efficient one-quart cartons, you can maximize your storage space while delighting all those you serve.","MILK, VITAMIN D3. CONTAINS: MILK",6/32FLOZ,Milk,,Ready to Drink,BEVERAGES,,
land-o-lakes-lowfat-blended-vanilla-yogurt-pail-1-32/,034500633109,LAND O LAKES LOWFAT BLENDED VANILLA YOGURT PAIL – 1/32#,"Looking to add a delicious and versatile ingredient to your kitchen or industrial manufacturing operations? We’ve got just the thing. With a vanilla flavor profile and subtle cultured dairy notes, this yogurt will please even the most discerning palates. Plus, its smooth and creamy texture makes it perfect for a variety of applications. Whether you’re serving it as a standalone breakfast or snack item, using it as a base for mouthwatering parfaits, or blending it into irresistible smoothies, this yogurt is sure to become a consumer favorite.","CULTURED PASTEURIZED GRADE A LOW FAT MILK, SUGAR, WATER, MODIFIED FOOD STARCH, NATURAL FLAVOR, ANNATTO EXTRACT AND TURMERIC (COLOR), CARRAGEENAN, PECTIN, CITRIC ACID, VANILLA EXTRACT, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",1/32#,Bulk,,READY TO EAT,YOGURT,,
schreiber-premium-swiss-loaf-6-8-9-random-weight/,071505862967,SCHREIBER PREMIUM SWISS LOAF – 6/8-9# RANDOM WEIGHT,"Crafted for those who appreciate quality and performance, our Swiss Cheese has a mild, sweet, and nutty flavor profile that’s sure to delight your patrons. With a firm body and smooth texture, it’s perfect for slicing or shredding, whether you’re adding Swiss to sandwiches, burgers, omelets, pasta, or soups. Plus, it melts beautifully when heated, ensuring a creamy and irresistible finish to your culinary creations.","PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. AGED OVER 60 DAYS. CONTAINS: MILK",6/8-9#R,Chunk,,Ready to Eat,NATURAL CHEESE,,
swiss-slices-18-1-5-36-slices/,030900001562,SWISS SLICES – 18/1.5# 36 SLICES,"Our Swiss cheese slices feature a mild, sweet, nutty flavor profile and a firm body and smooth texture that melts beautifully when heated. Whether you’re serving up hot or cold sandwiches or creating a mouthwatering meat and cheese tray, this natural cheese is the perfect addition to your menu lineup!","PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. AGED OVER 60 DAYS. CONTAINS: MILK",18/1.5#,Slice,0.67oz.,Cold Application; Hot Application - Internal Melt,NATURAL CHEESE,4,4
pauly-low-moisture-part-skim-mozzarella-loaf-6-5/,030900007076,PAULY LOW MOISTURE PART-SKIM MOZZARELLA LOAF – 6/5#,"Simplify your kitchen prep with this versatile natural cheese loaf. Its soft texture and firm body mean you can shred, cube, or slice to suit your needs. Whatever format you choose, it will help you create unforgettable menu items that consumers will come back for again and again. From hot Italian sandwiches and pizzas to irresistible casseroles, its clean, mild, and slightly salty dairy profile adds just the right touch of flavor to anything it touches.","PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. CONTAINS: MILK",6/5#,Chunk,,Ready to Eat,NATURAL CHEESE,11.15,3.5
schreiber-swiss-snack-cubes-4-5/,071505015899,SCHREIBER SWISS SNACK CUBES – 4/5#,"Schreiber Swiss Cubes offer up a sweet, nutty flavor profile, followed by a smooth Swiss flavor by the bite. And, because they’re ready to serve, you can count on them to have a consistent cut and quality, reducing labor costs and eliminating waste. They’re a versatile addition to any menu and ideal for snacking occasions like cheese trays or paired with fruit and nuts for a harmonious blend of flavors and textures that everyone you serve is sure to love.","PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. AGED OVER 60 DAYS. CONTAINS: MILK",4/5#,Snack,,Ready to Eat,NATURAL CHEESE,,
schreiber-swiss-slices-8-1-5-32-slices/,071505015400,SCHREIBER SWISS SLICES – 8/1.5# 32 SLICES,"Our Swiss cheese slices feature a mild, sweet, nutty flavor profile and a firm body and smooth texture that melts beautifully when heated. Whether you’re serving up hot or cold sandwiches or creating a mouthwatering meat and cheese tray, this natural cheese is the perfect addition to your menu lineup!","PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES. AGED OVER 60 DAYS. CONTAINS: MILK",8/1.5#,Slice,0.75oz.,Cold Application; Hot Application - Internal Melt,NATURAL CHEESE,3.88,3.88
land-o-lakes-nonfat-plain-yogurt-cup-6-2/,034500635707,LAND O LAKES NONFAT PLAIN YOGURT CUP – 6/2#,"Crafted to be the perfect canvas for your culinary masterpieces, our nonfat plain yogurt helps you entice patrons with anything from tender yogurt-marinated proteins to creamy dressings and dips. And, with its smooth and creamy texture and mild flavor profile, you can effortlessly replace sour cream or mayo in your most popular recipes, offering a healthier twist without sacrificing flavor. No matter what you create, you can be sure it’s going to be delicious. Plus, with its 2-pound size, it’s perfect for multiple occasions, ensuring you’ll always be ready for any culinary adventure.","CULTURED PASTEURIZED GRADE A NONFAT MILK, MODIFIED FOOD STARCH, WHEY PROTEIN CONCENTRATE, CARRAGEENAN, PECTIN, CALCIUM CHLORIDE, POTASSIUM SORBATE (TO MAINTAIN FRESHNESS), VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",6/2#,Large Cup,,Ready to Eat,YOGURT,,
schreiber-2-milk-12-32-fl-oz/,071505024006,SCHREIBER 2% MILK 12/32 FL OZ,"With all of the flavor but lower fat content, our 2% milk is more than just a beverage – it’s a promise of quality and versatility from a dairy expert. From more complex baking applications to simple dishes like cereal, or even just pouring a tall glass for a refreshing sip, its creamy texture and rich taste help you create an unforgettable experience every time. And, with extended shelf life and efficient one-quart cartons, you can maximize your storage space while delighting all those you serve.","REDUCED FAT MILK, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS: MILK",12/32FLOZ,Milk,,Ready to Drink,BEVERAGES,,
low-moisture-part-skim-mozzarella-provolone-cheddar-80-10-10-feather-shreds-4-5/,071505019736,LOW MOISTURE PART-SKIM MOZZARELLA/PROVOLONE/CHEDDAR 80/10/10 FEATHER SHREDS – 4/5#,"Crafted from an 80% blend of Low Moisture Part Skim Mozzarella, 10% Cheddar, and 10% Non-Smoked Provolone cheeses, this blend helps you bring an irresistibly mild, slightly salty, tangy flavor to any dish with convenience and ease. And with its classic feather shred for excellent coverage, it’s great for topping pizzas, omelets, skillets, pasta, salads, and so much more. Whether you’re simply sprinkling it or using it in more complex recipes, the possibilities are endless.","LOW-MOISTURE PART-SKIM MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, COLOR ADDED), PROVOLONE CHEESE WITHOUT ADDED SMOKE FLAVORING (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES), POTATO STARCH ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR). CONTAINS: MILK",4/5#,Shredded,,Hot Application - Internal Melt; Hot Application - Topical Melt; Cold Application,NATURAL CHEESE,,
