name,address,email,phone,domain
Tetra Pak Inc.,"3300 Airport Road • Denton, TX 76207 United States",sales@tetrapak.com,(940) 565-8800,tetrapak.com
Veritiv,"1000 Abernathy Road Northeast, Suite 1700 • Atlanta, GA 30328 United States",insidesales@veritivcorp.com,(770) 391-8200,veritivcorp.com
"Volm Companies, Inc.","1804 Edison St • Antigo, WI 54409-2438 United States",prosource@pmmi.org?subject=(Volm%20Companies%2C%20Inc.)%20Profile%20Page%20inaccuracy,(800) 253-4737,volmcompanies.com
WestRock,"1000 Abernathy Rd NE • Atlanta, GA 30328 United States",aps@westrock.com,(407) 843-1300,smurfitwestrock.com
Amcor Flexibles North America,"2200 Badger Ave. • Oshkosh, WI 54904 United States",info@amcor.com,(800) 544-4672,amcor.com
Amcor Rigid Packaging,"935 Technology Drive • Ann Arbor, MI 48103 United States",arpna_sales_info@amcor.com,(734) 302-2802,amcor.com
American Fuji Seal Inc.,"1051 Bloomfield Rd • Bardstown, KY 40004 United States",afscontact@afseal.com,(502) 348-9211,fujiseal.co.jp
"Chicago Tag & Label, Inc.","2501 Commerce Dr • Libertyville, IL 60048-2495 United States",sales@chicagotag.com,(800) 826-8260,chicagotag.com
"Colormasters, LLC","632 Smith Road PO Box 2289 • Albertville, AL 35950-0037 United States",sales@colormastersllc.com,(256) 878-8880,colormastersllc.com
DCF Mexicana SA De CV,"Avenida del Estano 5 , Colonia Parque Industrial CIMEG • El Salto, JA 45680 Mexico",contacto@dcf.com.mx,(52-52)3331251451,dcf.com.mx
"FOX IV Technologies, Inc.","6011 Enterprise Drive • Export, PA 15632 United States",sales@foxiv.com,(724) 387-3500,foxiv.com
HERMA US Inc.,"39 Plymouth Street Unit 300 • Fairfield, NJ 07004 United States",info@herma.com,(973) 521-7254,herma.us
"KDV Label, LLC","437 W. Newhall • Waukesha, WI 53186 United States",prosource@pmmi.org?subject=(KDV%20Label%2C%20LLC)%20Profile%20Page%20inaccuracy,(800) 637-6661,kdvlabel.com
Kolinahr Systems,"6840 Ashfield Drive • Cincinnati, OH 45242 United States",info@kolinahrsystems.com,(513) 745-9401,kolinahrsystems.com
Kwik Lok Corporation,"P.O. Box 9548 • Yakima, WA 98909 United States",sales@kwiklok.com,(509) 248-4770,kwiklok.com
Multi-Color Corporation,"6111 North river Rd. • Rosemont, IL 60018 United States",info@fortdearborn.com,(847) 357-9500,mcclabel.com
"Osio International, Inc.","2550 E. Cerritos Ave. • Anaheim, CA 92806 United States",sales@osiopack.com,(714) 935-9700,osiopack.com
Smith Corona,"3830 Kelley Ave • Cleveland, OH 44114 United States",support@smithcorona.com,(216) 426-5637,smithcorona.com
Specialty Printing,"123 Day Hill Road • Windsor, CT 06095 United States",info@specialtyprinting.net,(877) 901-7732,specialty.inc
UPM Raflatac,"400 Broadpointe Drive • Mills River, NC 28759 United States",americas.support@upmraflatac.com,(828) 290-6302,upmraflatac.com
Weber Packaging Solutions,"711 West Algonquin Road • Arlington Heights, IL 60005 United States",info@weberpackaging.com,(847) 364-8523,weberpackaging.com
AirWave Packaging LLC,"5332 W 78th St • Indianapolis, IN 46268 United States",infoawp@airwave-packaging.com,(888) 824-7928,airwavepackaging.com
Allstrap Steel & Poly Strapping Systems LLC,"1719 Kenny Rd • Columbus, OH 43212 United States",th@allstrap.com,(866) 779-2673,allstrap.com
Bubble Paper,"105 Prosperity Blvd • Piedmont, SC 29673 United States",info@bubblepaper.com,(800) 616-3574,bubblepaper.com
Edibel USA Packaging Solutions Inc.,"24285 Katy Freeway Suite 615 • Katy, TX 77494 United States",info@edibel.com,(281) 935-8986,edibel.com
EFP LLC,"223 Middleton Run Road • Elkhart, IN 46515 United States",info@efpcorp.com,(800) 205-8537,efppackaging.com
Fromm Packaging Systems,"85 Fulton St. Suite 4 • Boonton, NJ 07005 United States",prosource@pmmi.org?subject=(Fromm%20Packaging%20Systems)%20Profile%20Page%20inaccuracy,(877) 334-5777,frommstrappingsystems.com
International Dunnage,"2217 Rowland Avenue • Thunderbolt, GA 31404 United States",sales@internationaldunnage.net,(912) 355-8884,internationaldunnage.com
Jadex,"1303 South Batesville Rd. • Greer, SC 29650 United States",info@jadexinc.com,(864) 879-8100,jadex.com
ORBIS Corporation,"P.O. Box 389 • Oconomowoc, WI 53066-0389 United States",info@orbiscorporation.com,(262) 560-5364,orbiscorporation.com
Packaging Corp. of America,"650 Forest Edge Drive • Vernon Hills, IL 60061 United States",sales@packagingcorp.com,(847) 482-3000,packagingcorp.com
Pregis LLC,"227 W Monroe Street Suite 4100 • Chicago, IL 60606 United States",prosource@pmmi.org?subject=(Pregis%20LLC)%20Profile%20Page%20inaccuracy,(262) 246-8815,pregis.com
Sealed Air Corporation,"2415 Cascade Pointe Boulevard • Charlotte, NC 28208 United States",info@sealedair.com,(980) 221-3235,sealedair.com
Signode,"Hidden River Corporate Center Two 14025 Riveredge Drive Suite 500 • Tampa, FL 33637 United States",webinfo@signode.com,(800) 323-2464,signode.com
Sonoco,"1 North Second Street • Hartsville, SC 29550 United States",corporate.communications@sonoco.com,(843) 383-7859,sonoco.com
TriEnda,"N 7660 Industrial Road • Portage, WI 53901 United States",info@trienda.com,(800) 427-2553,trienda.com
Veritiv,"1000 Abernathy Road Northeast, Suite 1700 • Atlanta, GA 30328 United States",insidesales@veritivcorp.com,(770) 391-8200,veritivcorp.com
"A R Arena Products, Inc.","100 Metro Park • Rochester, NY 14623-2649 United States",info@arenaproducts.com,(585) 254-2180,arenaproducts.com
"Decade Products, LLC","3710 Sysco Ct SE • Grand Rapids, MI 49512-2043 United States",info@decadeproducts.com,(877) 999-6229,decadeproducts.com
Fres-co System USA Inc.,"3005 State Road • Telford, PA 18969 United States",contact@fresco.com,(215) 721-4600,fresco.com
"Georg Utz, Inc.","14000 North 250 West • Edinburgh, IN 46124 United States",info.us@utzgroup.com,(812) 526-2240,utzgroup.com
International Paper,"6400 Poplar Avenue T3-9-102 • Memphis, TN 38197 United States",internationalpaperpackaging@ipaper.com,(901) 419-4173,internationalpaper.com
IPL Inc,"140 Commerciale Street • St Damien, QC G0R 2Y0 Canada",info.iplp@iplglobal.com,(418) 789-2880,ipl-plastics.com
MAC Automation Concepts,"1760 Kilkenny Ct • Woodstock, IL 60098-7437 United States",sales@macautomation.com,(800) 435-6979,macautomation.com
ORBIS Corporation,"P.O. Box 389 • Oconomowoc, WI 53066-0389 United States",info@orbiscorporation.com,(262) 560-5364,orbiscorporation.com
ProAmpac,"12025 Tricon Road • Cincinnati, OH 45246 United States",info@proampac.com,(513) 551-1274,proampac.com
Rehrig Pacific Company,"4010 East 26th Street • Los Angeles, CA 90023 United States",info@rehrig.com,(323) 262-5145,rehrigpacific.com
"Remcon Plastics, Inc.","208 Chestnut Street • Reading, PA 19602 United States",info@remcon.com,(800) 360-3636,remcon.com
"Volm Companies, Inc.","1804 Edison St • Antigo, WI 54409-2438 United States",prosource@pmmi.org?subject=(Volm%20Companies%2C%20Inc.)%20Profile%20Page%20inaccuracy,(800) 253-4737,volmcompanies.com
"Decker Tape Products, Inc.","906C Murray Road • East Hanover, NJ 07936 United States",info@deckertape.com,(973) 227-5350,deckertape.com
PakTech,"70 South Bertelsen Road • Eugene, OR 97402 United States",handlesales@paktech-opi.com,(541) 461-5000,paktech-opi.com
Roberts PolyPro,"5416 Wyoming Ave • Charlotte, NC 28273 United States",robertspolypro.customerservice@promachbuilt.com,(800) 269-7409,robertspolypro.com
Shafiis' Inc. DBA Tigerpress,"50 Industrial Dr • East Longmeadow, MA 01028-3102 United States",info@tigerpress.com,(720) 519-3303,tigerpress.com
"Coim Group, North America","286 Mantua Grove Rd • West Deptford, NJ 08066 United States",customerserviceus@coimgroup.com,(856) 693-3010,coimgroup.com
Dow Chemical Company,"1254 Enclave Parkway • Houston, TX 77077 United States",info@dow.com,(989) 636-1000,dow.com
H.B. Fuller Company,"1200 Willow Lake Blvd. • St. Paul, MN 55110 United States",techsupport@hbfuller.com,(833) 672-1482,hbfuller.com
Accurate Box Company,"86 Fifth Avenue • Paterson, NJ 07524 United States",sales@accuratebox.com,(973) 345-2000,accuratebox.com
Do-It Corporation,"1201 Blue Star Memorial Highway PO Box 592 • South Haven, MI 49090-9769 United States",sales@do-it.com,(800) 426-4822,do-it.com
International Paper,"6400 Poplar Avenue T3-9-102 • Memphis, TN 38197 United States",internationalpaperpackaging@ipaper.com,(901) 419-4173,internationalpaper.com
Packaging Corp. of America,"650 Forest Edge Drive • Vernon Hills, IL 60061 United States",sales@packagingcorp.com,(847) 482-3000,packagingcorp.com
WestRock,"1000 Abernathy Rd NE • Atlanta, GA 30328 United States",aps@westrock.com,(407) 843-1300,smurfitwestrock.com
