Company Name,Company Type,Phone No,Website URL,Description
MNP LLP.,"All, Consulting",(519) 623-3820,mnp.ca,"Delivering the right solution. For every client.
Every time.
You need a firm who understands who you are, where
you’re coming from and where you want to go. MNP
is that firm.
As one of the largest accounting and business
consulting firms in Canada, MNP knows that it
takes more than skills and experience to serve
your business. It takes a commitment to your
growth, the time to understand the complexities of
your operation and industry and the specialized
insight to create strategies that address where
your business is and get your business where you
want it to be.
MNP has an extensive history of offering our
clients a full suite of accounting, consulting and
tax services to meet their needs in every aspect
of the business. Through partner-led engagements,
we provide a collaborative and cost-effective
approach to doing business and personalized
strategies to help your organization succeed
across the country and around the world."
"Mohawk College Energy and Power Innovation
                                Centre","All, Education, Research",9059737186,mohawkcollege.ca,"The Energy & Power Innovation Centre (EPIC)
provides expertise and facilities to support
Canadian companies with their operational
challenges with a particular focus on energy and
resource management. EPIC also supports utilities
and electrical companies with developing new
solutions, as well as training in state-of-the-art
facilities.
EPIC is also home to the Energy & Power
Technology Access Centre (TAC), a national
resource for the Canadian manufacturing and
agri-food sector. As a TAC, EPIC helps companies
who would like to adopt energy technologies that
can reduce operating costs throughout the
manufacturing process and/or de-risk the
implementation of new technologies.
The cross-functional research team - which
includes EPIC applied research staff, dedicated
co-op students and Engineering Technology Faculty
members- works collaboratively with the Sensor
Systems and Internet of Things (IoT) Lab, the
Centre for Climate Change Management, the Additive
Manufacturing Innovation Centre (AMIC), and the
mHealth & eHealth Development and Innovation
Centre (MEDIC)."
Neogen,"All, Food Safety, Safety",1 (519) 964-4722,neogen.com,"Neogen®’s Solutions Can Be Found at Every
Step of the Food Chain
Neogen provides a comprehensive range of
solutions and services for the food processing,
animal protein and agriculture industries, not
only helping to protect the world’s food supply,
but also enabling our customers to produce more
efficiently and effectively than they could
before.
We are also proud to serve the companion and
performance animal industries, as well as the
fields of life sciences and toxicology."
"Niagara College, Food & Beverage Innovation
                                Centre","All, Labelling Requirements, Research, Testing",(905) 641-2252 x 4198,ncinnovation.ca,"The Food & Beverage Innovation Centre
(formerly known as the Canadian Food & Wine
Institute Innovation Centre) team offers a full
suite of services to support industry innovation
and commercialization of new products and
processes. From new recipe development to
shelf-life testing and nutritional labelling, the
FBIC pairs industry partners with faculty, recent
graduates and students with the right expertise
and equipment to meet your needs.
Some of our services:
* Food and beverage product development
* Food safety and regulatory
* Beverage analytical services
* Sensory analysis and consumer acceptance
* Beverage processing pilot plant
* Hops analysis services"
Notch,Accounting,(905)607-4289,notch.financial,"Notch is a foodservice operations app for
restaurants and distributors, making it simple to
manage orders, invoices, and payments, all in one
platform.
Notch gives business owners and their staff
the tools needed to automate the manual tasks
required to run and grow their business."
Nusens,"Construction, Contracting, Maintenance",(866) 687-3670,nusens.ca,"We handle nuisances in construction. Our focus is
on repairing, maintaining and modifying all
aspects of a building envelope including below
grade.."
Omron Automation Americas,"All, Robotics",(866) 986-6766,omron247.com,"Omron Corporation is a world leader in technology
designed to solve social issues, improve lives and
build a better tomorrow. Addressing the challenges
of our changing society through innovation in
artificial intelligence, robotics, sensing and
control, we help packaging machine manufacturers
and production facilities increase profitability,
with a complete range of services and products
designed to increase your machine’s speed,
versatility, performance and safety."
"Ontario Agricultural College – University of
                                Guelph","All, Education",(519) 824-4120 ext. 52285,uoguelph.ca,"The Ontario Agricultural College (OAC) of the
University of Guelph is internationally renowned
for its research, teaching and knowledge extension
in the broad areas of food, agriculture,
communities and the environment.
The OAC community includes 3,700 diploma,
undergraduate and graduate students, 35,000
alumni, 140 faculty and 600 staff members. Our
community also has a strong sense of shared
purpose: To Improve Life by inspiring leaders,
generating knowledge and creating innovative
solutions for food, agriculture, communities and
the environment."
ONYX Engineering Ltd.,"All, Automation, Electrical, Engineering, Equipment",(519) 948-4324,onyxengineering.com,"We engineer solutions. That is what we have done
for the Food and Beverage Industry since 1991. Our
experienced staff applies the latest technology to
modernize and improve your business while
maximizing your up time. As a licensed
Professional Engineering Firm in Ontario, we
modernize your operations through controls and
automation upgrades increasing your output, and
reducing labour while collecting all the valuable
data you need to make those critical decisions.
Our customers range from the Wine, Spirits and
Cannabis processors, to one of the largest
independent food and beverage manufactures in
Canada.
Capabilities Engineering Solutions –ONYX
Engineering is proud member of the Professional
Engineers of Ontario(P.E.O)
Controls System Integration
Maintenance/Service
Modernization – Legacy Upgrades
MES
Asset Management and Version Control
Process Control
Maintenance/Service
Modernization – Legacy Upgrades
MES Integration
Asset Management and Version Control
Operational Technology/Network Services
OT Cybersecurity
Maintenance/Service
Wireless Communication
Automation Solutions
Custom automation solutions to the food and
beverage industries
Robot programming – Cobot integration
AI and Machine Vision – Inspection solutions,
vision detection
Modernization solution -PLC upgrades
Safety Solutions
Ministry compliance
SCADA & HMI
Plant information visibility
Data logging/Historian
Energy Monitoring and Management
Review the ONYX Engineering client case studies
in automation for packaging, cookrooms, and food
filling lines on our website. Whether you are a
multinational or a single-line facility, ONYX
Engineering can work for you.
Ask us today how we can help you. For more
information go to www.onyxengineering.com"
Orkin Canada,"All, IT, Pest Control, Sanitation",4163464047,orkincanada.ca,"Orkin Canada, formerly Orkin PCO Services, is
Canada's largest pest control provider and a
leader in the development of fast, effective and
environmentally responsible pest control
solutions. For more than 50 years we have
consistently set the standard for the pest control
industry in Canada. Our professionals are the best
in the business and we're ready to help you –
anywhere in Canada, 24 hours a day.
Whether it is seasonal pests such as ants, earwigs
and wasps, or the ongoing defence against rodents
or cockroaches that requires constant oversight,
Orkin Canada provides comprehensive programs which
alleviate the constant pressure and keep pests
away. We respond to some 60,000 customer calls
each and every month, be they residential or
commercial clients, and our customized programs
are backed by the industry's most comprehensive
guarantees.
Orkin Canada’s seven-stage program consists of
inspection, building layout analysis, pest
identification, program customization, sanitation
consultation, treatment strategies and ongoing
monitoring and maintenance. Orkin’s IPM methods
may be biological, mechanical, using traps or
other exclusion techniques, or even cultural, such
as focusing on sanitation issues to prevent
pest-conducive conditions.
Call 1-800-800-ORKIN or visit us at
www.orkincanada.ca.
Orkin Canada. Pest Control Down To A Science®."
Packall,Packaging,(905) 793-0177,packall.com,"Packall Packaging Inc. is a major
supplier of flexible packaging to the food
industry, with a specialty in meat, cheese, and
seafood.
The company always insisted on acquiring
quality leading-edge equipment that our employees
quickly mastered. When we could not find the
quality we insisted on, we built our own or
modified it to our specifications.
Packall is a full-line converter in that we
manufacture films from resins. We also print,
laminate, slit, and make pouches, all at our
facility in Brampton. Packall is a registered ISO
and SQF Level 3 company with certifications with
FDA, KOSHER, GFTC, and OPALTONE Print System
(Please see our certification page). These
organizations continuously inspect our operations,
and they certify that Packall is in compliance
with their requirements for registration. You can
be assured that the product it supplies is of the
highest quality."
Pivot Systems,"All, Equipment, Facilities, IT, Maintenance",(416) 994-9028,pivotsystems.ca,"Pivot Systems Ltd. are a full service Multi-trade
Contracting firm totally committed to their
clients satisfaction and will work diligently to
earn your respect and repeat business.
COMPANY SKILLED TRADE EXPERIENCE & SERVICES
* Experienced Construction / Industrial
Managers
* Experienced Project Management
* Millwrights
* Pipefitters
* Electricians
* Electrical & Mechanical Process
Improvements
* Certified Welders & Fitters
* Process Piping Specialists and Fabrication
services
* Sanitary Pipe fitting, Orbital welding and Weld
purity assurance
* Certified High & Low Pressure Steam Fitting
Services
* Fabrications Services
* Equipment Moving, Hoisting & Rigging
Specialists
* Equipment & Conveyor Systems
Installations
* Plant move and relocation services
* Material Handling Systems Installations
* Maintenance & Shutdown Support
Pivot has over 30 years experience in providing
client turnkey installations solutions nationwide
in the sectors listed below.
SECTOR EXPERIENCE
* Automotive
* Heavy Manufacturing
* Food & Beverage
* Brewery Systems & Installation
Specialists
* Pharmaceutical
* Industrial Sector
* Packaging Systems
* Industrial /Automotive Material Handling
Systems
* Transportation Airport Baggage Handling
Systems
* Greenfield Projects & Commercial Sectors
CORPORATE COMMITMENT TO HEALTH & SAFETY
Pivot`s attention to detail and safety is what has
propelled them as an industry leader.
The success of our organization depends on our
reputation to provide a quality product and
service, in a safe and timely manner.
Health & Safety must be incorporated into all
facets or our operations.
To that end, Pivot Systems is proud to be
certified in the Infrastructure Health and Safety
Association of Ontario and has achieved our
National COR Standard Certification status in
February 2017.
We have very solid client relationships and
references when required and we subscribe to ISNET
World, Avetta, ComplyWorks and are Cognibox
compliant."
Qualtech,"All, Automation",418-686-3802,qualtech.ca,"We offer a wide range of specialized manufacturing
equipment, process capabilities and stainless
steel components, which are manufactured and
tailored to the needs of our customers in the
agrofood, industrial, biopharmaceutical and
brewing sectors. Our unique expertise includes
engineering, design, construction, installation
and automation capabilities. We respond precisely,
with competence and rigour, to the needs of
customers looking for turnkey “design to
implementation” solutions. Qualtech now has over
250 collaborators based at six sites in Quebec and
Ontario, as well as a permanent technical support
capability in Wisconsin (USA)."
RidgeTech Automation Inc.,"All, Automation, Engineering, Equipment, Robotics",(226) 475-1208 x101,ridgetech.com,"We specialize in Control Systems &
Smart Manufacturing/Processing. From our
headquarters in Cambridge, Ontario we deliver
world class solutions for clients in a wide
variety of industries around the globe. We help
manufacturers and producers operate their plant
floors efficiently & safely. We work with
Producers, Processors, EPC’s & Machine
Builders to develop facilities and equipment that
utilize the latest technologies to help our
clients get the most from their investments.
Controls & Automation
Robot Programming
Energy Monitoring
Track & Traceability
Vision Detection & Inspection
Hardware & Safety Upgrades
Data Management
MES Integration
Project Management & Consulting
Computerized Maintenance Management Systems"
Schneider Electric Canada,"Automation, Electrical, Equipment",(800) 565-6711,se.com,"Schneider’s purpose is to empower all to make the
most of our energy and resources, bridging
progress and sustainability for all. We call this
Life Is On. Our mission is to be your digital
partner for Sustainability and Efficiency. We
drive digital transformation by integrating
world-leading process and energy technologies,
end-point to cloud connecting products, controls,
software and services, across the entire
lifecycle, enabling integrated company management,
for homes, buildings, data centers, infrastructure
and industries. We are the most local of global
companies. We are advocates of open standards and
partnership ecosystems that are passionate about
our shared Meaningful Purpose, Inclusive and
Empowered values."
Second Harvest,,(437) 424-3103,secondharvest.ca,"Second Harvest is Canada’s largest food rescue
organization and is a global thought leader on
perishable food redistribution. We operate at the
intersection of hunger relief and environmental
protection, tackling food loss and waste through
food redistribution, research, awareness, and
education, continually innovating and
collaborating to ensure a more sustainable
planet.
We work with thousands of food businesses
from across the supply chain utilizing logistics
and technology to reduce the amount of edible food
going to waste, thereby diverting unnecessary
greenhouse gases from entering the environment.
Our inclusive model ensures this healthy
surplus food is redirected to thousands of
charities and non-profits across the country,
providing millions of Canadians experiencing food
insecurity access to the nourishment they need."
SGS Canada Inc.,"All, Certification, Training",(905) 867-7412,sgs.ca,"SGS is the world’s leading inspection,
verification, testing and certification company.
SGS is recognized as the global benchmark for
quality and integrity. With more than 97,000
employees, SGS operates a network of over 2,600
offices and laboratories around the world. We are
constantly looking beyond customers’ and society’s
expectations in order to deliver market leading
services wherever they are needed. As the leader
in providing specialized business solutions that
improve quality, safety and productivity and
reduce risk, we help customers navigate an
increasingly regulated world. Our independent
services add significant value to our customers’
operations and ensure business sustainability."
Sheridan College,Education,(905) 845-9430,caps.sheridancollege.ca,"Continuing Education has been a part of Sheridan
since 1968, when the Dean, Don Hamilton, pledged
to take “education to the people, instead of
making people come to the college.” So Continuing
Ed classes were taught in church basements,
elementary schools and factory lunch rooms. That
same passion of bringing education to the people
of Halton and Peel drives the people of Sheridan’s
Continuing and Professional Studies today."
Sheridan Electric,"Automation, Electrical, Integrator",(905) 625-0265,sheridanelectric.ca,"Sheridan Electric is a full-service contractor and
automation integrator, specializing in a complete
range of electrical services. This includes
industrial automation, electrical contracting,
control panels, technical services, preventive
maintenance, and 24/7 emergency response. Founded
in 1967, Sheridan has over 50 years of experience
providing electrical solutions to our clients.
Sheridan Electric is an industry leader within the
food and beverage industry, with proven experience
quoting and delivering projects across Ontario.
Our expertise includes installing and maintaining
equipment for industrial baking, poultry
processing, flour and feed milling, dairy
production, and brewing. Sheridan Electric’s
success is based upon our ability to offer a
one-stop, full-service solution for simple or
complex projects in the food industry. We
prioritize safety and due diligence and ensure all
personnel receive regular food safety training as
well as training on good manufacturing practices
and individual facility specifications.
Through superior customer service and a
reputation for providing the best service and
solutions to meet our clients’ electrical needs,
Sheridan is positioned to help you whatever your
issue may be. For more information, visit us at
http://sheridanelectric.ca/"
"Sherwin-Williams Protective and Marine Coatings
                                Division","Equipment, Facilities",(647) 213-3664,industrial.sherwin-williams.com,"Sherwin-Williams Protective & Marine delivers
world-class industry subject matter expertise,
unparalleled technical and specification service,
and unmatched regional commercial team support to
our customers around the globe. Our broad
portfolio of high-performance coatings and systems
that excel at combating corrosion helps customers
achieve smarter, time-tested asset protection.
When it comes to Food & Beverage, our
industry experts are renowned authorities and
understand every facility is unique and work with
you to focus on selecting the right coatings for a
clean, safe, and compliant facility. We offer
proven solutions that protect and extend the life
of critical facility assets, such as walls,
floors, tanks, structural steel, roofs, and more.
And provide a range of complimentary services,
such as site audits, to help you plan and maintain
your facilities.
In addition to Food & Beverage, we serve
a wide array of markets across our rapidly growing
distribution footprint, including Flooring, Water
& Wastewater, Steel Fabrication, Fire
Protection, Bridge & Highway, Manufacturing
& Processing, Marine, and Rail and Power.
Visit our site at
www.Industrial.sherwin-williams.com to learn
more."
Sinox,"All, Equipment",(418) 885-8276,groupesinox.com,"From process engineering to start-up and
manufacturing, we are the specialist in stainless
steel food processing equipment. For more than 25
years, our ""solver"" spirit has been at your
service to meet the challenges of any level of
complexity. Our offer is flexible, but we are
always guided by the pillars of our mission."
SOFIAC,Energy,1 (418) 692-2592,sofiac.ca,"SOFIAC develops, invests in, and manages deep
energy retrofit and decarbonization projects to
the benefit of Canadian businesses in the
commercial, industrial, and multi-residential
sectors. Through its turnkey investment solution,
SOFIAC takes charge of all project stages and
assumes the financial and technical risks.
SOFIAC’s performance-based approach requires no
initial or subsequent investment from clients, as
project costs are entirely repaid through a share
of the demonstrated savings. Clients benefit from
a positive cash flow from day one while enjoying
many additional financial benefits. For more
information, visit sofiac.ca."
Spark Power,"All, Electrical",(905) 208-0142,sparkpowercorp.com,"Spark Power / New Electric is a full-service
industrial electrical and automation contractor
delivering first-rate technical services and 24/7
rapid response support for over 45 years.
We understand the challenges being faced in the
food and beverage industry today. We continue to
work with our customers to help increase
production efficiency, maintain code compliance
and ensure HACCP standards are carried out. We
have a proven track record delivering successful
projects in Ontario. Spark Power brings to each
project depth of knowledge in the Food Industry,
strength of F&B experience in our management
team and an ability to meet resourcing
requirements, both immediate and for future needs
as they arise.
It is our mission to respond with urgency,
expertise and professionalism to minimize the
length and frequency of downtime"
Start Electric,"Automation, Electrical, Engineering",1 (888) 810‑5511,startelectric.com,"For over 20 years, Start Electric has
proudly served the Food and Beverage industry
throughout North America. Over the years we have
grown to understand that Food and Beverage
Processors require an electrical contractor who is
familiar with the complexity of working around
food processing facilities while adhering to GMP
standards. Our highly skilled team of
electricians, programmers, and engineers is on a
mission to provide the highest quality workmanship
in everything we do – from electrical upgrades and
panel building to engineering and preventative
maintenance. We won't stop until you're up and
running.
Our Services:
Field Installation
Client-Focused Engineering
Solutions & Consulting
Custom-Built Control Panels
PLC Programming & Automation
Preventative Maintenance
24/7 Service
Learn more about us and our services on our
website:
startelectric.com/"
Swirltex Inc.,"Environmental, Wastewater, Water Treatment",(403) 300-7989,swirltex.com,"At Swirltex, we design custom water
treatment systems specifically for the food and
beverage industry. Our unique membrane technology
tackles even the most difficult wastewater
challenges using an innovative annular flow
pattern that channels contaminants away from the
membrane surface, allowing clean water to pass
through efficiently.
The Swirltex technology has helped companies
reduce environmental pollution, cut freshwater
consumption by 75%, lower greenhouse gas emissions
by 30%, and decrease wastewater disposal costs by
90%. Additionally, we have enhanced operational
efficiency and boosted the corporate reputation of
our clients.
Currently, Swirltex's Buoyancy-Enhanced
Membrane Filtration (BEMF) technology is
recognized as one of the leading new water
technologies in Canada
Swirltex's Buoyancy-Enhanced Membrane
Filtration (BEMF)"
The Owl Solutions,Supply Chain,(905) 975-4993,theowlsolutions.com,"Owl delivers manufacturers a
streamlined data analytics platform focused on
supply chain performance, empowering professionals
with actionable insights for optimal efficiency
and success.
Explore the daily challenges faced by
inventory managers, discover the art of balancing
supply chain dynamics, and delve into the critical
role of data in inventory success on our Kraft
webinar:
https://www.youtube.com/watch?v=ZILZ4LSdp5k"
Thermogenics,"All, Facilities, IT",(905) 727-1901,thermogenicsboilers.com,"Thermogenics is a leading manufacturer of coiled
tube steam, hot water and thermal fluid boilers
and related equipment. The company’s products are
used by leading food processing manufacturers
across North America. Thermogenics also provides
best-in-class parts and 24/7 service support
delivered via factory-trained technicians and
manages a fleet of unique rental equipment to
serve temporary or emergency needs. With its
comprehensive product and service offering,
Thermogenics functions as a one-stop shop for all
of its customers’ most complex steam and heating
requirements.
Thermogenics operates from its head office in
Aurora, ON and is proud to participate in the
‘Ontario Made’ program. The company also maintains
sales and service operations in Cincinnati, OH,
Chicago, IL, Houston, TX, Jacksonville, FL and
Ottawa, ON."
Toromont Material Handling,"Equipment, Material Handling",(905) 741-7161,toromontmh.com,"A division of Toromont Industries Ltd., TMH is a
complete material handling solutions provider. We
offer a vast catalogue of industry leading
equipment, unmatched parts and service for any
brand forklift nationwide, short & long term
rentals, fleet management solutions, as well as
racking & storage products. We seek to be
strategic partners with our clients, helping to
meet their organizational goals through learning
and understanding their businesses."
Toronto-Dominion Bank,"All, Financial",(416) 549-2472,td.com,"The Toronto-Dominion Bank & its subsidiaries
are collectively known as TD Bank Group (TD). TD
is the sixth largest bank in North America by
branches & serves approximately 22 million
customers in a number of locations in key
financial centres around the globe. Over 85,000 TD
employees represent the strongest team in banking.
Delivering legendary customer experiences is who
we are & is part of being the Better Bank."
Total Pallet Solutions,"All, Logistics, Warehousing",(888)-452-8880,totalpallet.ca,"High Volume Pallets: Using only
in-house quality-controlled lumber, our
high-volume, machine-built pallets produce a
consistently high-quality product at volumes that
scale with your business.
Custom Pallets: Your business is unique and
so are your pallet needs. For over 30 years, we
have helped customers design the right solutions
that meets their requirements.Precut Lumber:
Vertically integrated production to reach your
unique lumber requirements from pallet stock to
custom packaging components.
TPS is a division of Pallet Management
Group."
Trenton Cold Storage,Supply Chain,(613) 394-3317,trentoncoldstorage.com,"Established in 1902 by Eben James I, Trenton
Cold Storage (TCS) has proudly built a legacy of
excellence in temperature-controlled storage
spanning over 120 years. Originally founded as a
local apple storage provider in Trenton, Ontario,
TCS has transformed into one of the top 20 cold
chain logistics providers in North America.
With state-of-the-art facilities located
across Canada—including Trenton, Toronto, Calgary,
Edmonton, and an exciting new Moncton facility set
to open in 2025—TCS specializes in providing
comprehensive cold chain solutions. Our services
encompass freezer, cooler, and ambient storage,
along with specialized product handling and custom
solutions tailored to meet the diverse needs of
our clients.
At TCS, we are committed to sustainability,
innovation, and quality. Our mission is to be a
trusted partner in the food supply chain,
connecting food to families around the world. We
take pride in our role in ensuring the safe and
efficient storage and distribution of
temperature-sensitive products, supporting our
customers’ success with reliability and
expertise.
Join us as we continue to lead the industry
and uphold our commitment to excellence in cold
chain logistics."
Tri-Electric Solutions Ltd.,"All, Electrical, Equipment, Maintenance",(519) 568-7883,tri-electric.com,"With over 35 years experience, Tri-Electric has
become an industry leader in the food, beverage,
pharmaceutical, and personal health care
industries. Located in Elmira, Ontario,
Tri-Electric offers a full service, multi-trade
solution provider for all your manufacturing,
facility, and integration needs. We are committed
to providing our customers with the best-in-class;
Custom Automation, Engineering, Design, and
installation services. Our experienced HACCP
trained management team and trades people are
passionate about what they do and their top
quality craftsmanship is reflective of this
passion.
Customer Commitment: We develop relationships that
make a positive difference in our customers lives.
Quality: We provide outstanding products and an
unsurpassed service that, together, deliver
premium value to our customers. Teamwork: We work
together, across boundaries, to meet the needs of
our customers, to help them succeed. Integrity: We
uphold the highest standards of integrity in all
our actions. Respect for People: We value our
customers, encourage our staff development and
reward their performance. We are personally
accountable for delivering on our commitments."
U-Pak,"Energy, Recycling, Waste Management",(866) 299-8725,upak.net,"Established in 1972, U-Pak Disposals
is privately held, Canadian owned and operated
with an independent board of directors. With a
fleet of 200+ vehicles, we provide waste removal
services across the Greater Toronto Area.
U-Pak provides waste removal services across
the GTA and transports to the final destination
site. Recycled material is sent to accredited
Canadian recycling processors, while the remaining
material designated as waste can be processed by
U-Pak’s Emerald Energy from Waste facility and
converted into renewable energy. This waste
removal methodology eliminates cross-border
dumping issues and assures our environmentally
aware partners that all materials are handled in
Canada from the “cradle to the grave.”
New and exciting changes are always at the
forefront of our business within the waste and
recycling industry. We advance with new waste
removal technologies, which we then pass on to our
customers to help with their sustainability and
Zero Waste goals. This includes:
Energy from Waste treatment facility capable of
processing non-hazardous solid waste from
municipal (MSW), industrial, commercial and
institutional (ICI) sources. One point of
contact for multiple locations.
Quarterly volume reporting of various waste
streams and suggested improvements to existing
programs.
Skilled personnel to work with the staff or
tenants to encourage higher levels of recycling.
Scaled lift tickets of recyclables.
Bundled service packages for waste, wood, paper,
glass, metals, plastics, cardboard, grease
rendering and organic / produce/bakery
recycling.
Continual program monitoring to ensure
compliance with the provincial recycling
regulations.
Rebate program for recyclables within 30 days.
Assistance in all aspects of the 3-R’s (reduce,
reuse and recycle) regulations compliance."
Vaughn Economic Development,,(905) 832-8585,vaughanbusiness.ca,"Good food is grown, manufactured,
packaged, stored, distributed, shipped and enjoyed
in Vaughan.
Vaughan’s agri-food and food processing
sector runs “farm to fork,” from growing to
processing to consumption at a retail or
hospitality outlet. Access in Vaughan means access
everywhere.
Vaughan’s Economic Development team is the
go-to source for insight into Vaughan’s economic
community. Our award-winning team can provide
support for your expansion or relocation within
the city through: •end-to-end customized site
selection support; •customized guidance and
research; •ecosystem connections; •support
accessing funding programs; and •zoning, planning,
and by-law information. Vaughan is Transformative,
Ambitious, and Purpose-Driven. TAP into
Opportunity – TAP into Vaughan."
"VEGA Instuments, Canada Ltd","All, Equipment",(833) 538-8342,vega.com,"VEGA’s full product line of level, pressure,
density, and weight measurement solutions allows
us to provide one of the most complete ranges of
measurement solutions in the industry. We are
proud to apply our products and solutions to serve
a wide variety of industries, including food and
beverage.
We believe the future of instrumentation lies in
the ability to produce high quality, innovative
products that keep pace with technology, and
provide service and value to our customers."
Veolia Water Technologies Canada Inc.,"All, Environmental",514 334-7230,veoliawatertech.com,"Veolia is the global leader in optimized resource
management. With over 163,000 employees worldwide
and 160 years of experience, Veolia designs and
provides creative and effective water, waste and
energy management solutions that contribute to the
sustainable development of communities and
industries.
Building upon the 1,200 Food & Beverage
projects it successfully executed across the
globe, Veolia is recognized for applying its
capacity for innovation to improving the
performance of its Food & Beverage clients."
Wine Growers Ontario,"All, Associations",(905) 562-9426,winegrowersontario.ca,"Wine Growers Ontario is an alliance of leading
wineries and grape growers working together to
ensure the entire Ontario wine industry is robust,
sustainable and profitable today, tomorrow and
many years to come. We are generations of
winemakers as well as new entrepreneurs. We
cultivate vast acreages of grapes and smaller
vineyards too. Together, we are proud of our
international acclaim for award winning wines
produced from the beautiful, rich and diverse Wine
Country of Ontario. We are committed to offering a
wide range of quality wines to enjoy at any
occasion, from 100% Ontario Vintners Quality
Alliance (VQA) to International Domestic Blends
(IDB) wines, our award winning wines span the
taste preference, quality and value appreciated by
our local customers. But most of all, we are
personally and collectively passionate about the
grape and wine industry and truly committed to its
continued success here at home and around the
globe. www.wgao.ca"
Workplace Safety and Prevention Services (WSPS),"All, Safety",(905) 614-1400,wsps.ca,"Workplace Safety & Prevention Services (WSPS)
is a leader in providing impactful risk management
solutions that drive lasting business success for
our customers. WSPS offers unparalleled health and
safety expertise, insight and solutions for
creating healthy work environments where employees
thrive and businesses prosper.
A dynamic $43-million organization servicing
165,000 member firms, WSPS is primarily focused on
the agricultural, industrial/manufacturing and
service sectors. A key player in the Ontario
occupational health and safety system, WSPS brings
together community and business leaders to
influence positive change to create a safer and
more profitable Ontario.
WSPS.CA"
Trenton Cold Storage,Supply Chain,(613) 394-3317,trentoncoldstorage.com,"Established in 1902 by Eben James I, Trenton
Cold Storage (TCS) has proudly built a legacy of
excellence in temperature-controlled storage
spanning over 120 years. Originally founded as a
local apple storage provider in Trenton, Ontario,
TCS has transformed into one of the top 20 cold
chain logistics providers in North America.
With state-of-the-art facilities located
across Canada—including Trenton, Toronto, Calgary,
Edmonton, and an exciting new Moncton facility set
to open in 2025—TCS specializes in providing
comprehensive cold chain solutions. Our services
encompass freezer, cooler, and ambient storage,
along with specialized product handling and custom
solutions tailored to meet the diverse needs of
our clients.
At TCS, we are committed to sustainability,
innovation, and quality. Our mission is to be a
trusted partner in the food supply chain,
connecting food to families around the world. We
take pride in our role in ensuring the safe and
efficient storage and distribution of
temperature-sensitive products, supporting our
customers’ success with reliability and
expertise.
Join us as we continue to lead the industry
and uphold our commitment to excellence in cold
chain logistics."
Swirltex Inc.,"Environmental, Wastewater, Water Treatment",(403) 300-7989,swirltex.com,"At Swirltex, we design custom water
treatment systems specifically for the food and
beverage industry. Our unique membrane technology
tackles even the most difficult wastewater
challenges using an innovative annular flow
pattern that channels contaminants away from the
membrane surface, allowing clean water to pass
through efficiently.
The Swirltex technology has helped companies
reduce environmental pollution, cut freshwater
consumption by 75%, lower greenhouse gas emissions
by 30%, and decrease wastewater disposal costs by
90%. Additionally, we have enhanced operational
efficiency and boosted the corporate reputation of
our clients.
Currently, Swirltex's Buoyancy-Enhanced
Membrane Filtration (BEMF) technology is
recognized as one of the leading new water
technologies in Canada
Swirltex's Buoyancy-Enhanced Membrane
Filtration (BEMF)"
Container Pros,,(226) 820-2471,containerpros.ca,"We’re trusted across Ontario for
industry-leading container management. We’re known
for quality, efficiency, attention to detail,
customer service and addressing these six pain
points for manufacturers:
“We need more ROI per square foot of our floor
space.”
“We have no room to stage or wash our
containers.”
“We once again have to train a new employee on
container washing.”
“We have neither the time nor traceability to
recover containers from customers.”
“We send out too many containers that are either
unclean or in poor condition.”
“We got another customer complaint about the
condition of our containers.”
Services include: Sanitation, Inspection,
Repair, Warehousing/Asset Management of folding
and fixed wall IBC (intermediate bulk container)
totes, tubs, vats, and handheld containers,
trays, and pallets used in storage, transport,
movement, and filling of food ingredients in the
dairy, edible oil, liquid egg, bakery product,
protein, fruit purees, sauces, commodity
staples, and prepackaged consumer packaged goods
industry.
Learn more about us at :
Container Pros"
Blue Door Agency,Marketing,(416) 451-2233,bluedoor.agency,"Founded in 2017, Blue Door is an
award-winning marketing agency based in Toronto
and employs more than 30+ individuals in
marketing, communications, public relations,
digital advertising, and branding.
We operate across Canada and have direct
experience across several sectors, including food
and beverage, healthcare, technology, travel,
retail, hospitality, and municipal services. We
are unique in our ability to deliver across
traditional media, digital advertising, and
branding/design - all from under one roof.
We differentiate ourselves from other
agencies by being highly data-centric and ensuring
every campaign is directly tied to the numbers
that matter the most to our clients.
Our robust local, national and international
campaigns are fully integrated and include Digital
Strategies, Graphic Design, Social Media,
Influencer Relations, and Crisis Communications.
Due to the nature of our integrated model, clients
no longer require 2-3 agencies to complete the
same work. Blue Door offers a fully-integrated
model where website development, email marketing
and digital advertising happens under the same
roof as public relations and graphic design.
Each account is managed by a team of
seasoned professionals with the experience and
relationships that deliver results.
Learn more about us at :
bluedoor.agency/"
Allianz Trade Canada,Insurance,1 (514) 399-2078,allianz-trade.com,"Allianz Trade in Canada is the country’s
largest private provider of trade credit
insurance. Founded in 1923, Allianz Trade in
Canada helps companies mitigate the risk of
non-payment from customers and offers advanced
risk management solutions utilizing a proprietary
intelligence network analyzing over 80 million
companies worldwide. By providing valuable
insights and predictive protection, Allianz Trade
helps Canadian businesses avoid bad debt and
compensates them when unexpected losses occur,
enabling them to grow with confidence.
Learn more about us at :
allianz-trade.com/en_CA.html"
